Rk,Squad,# Pl,Weekly Wages,Annual Wages,% Estimated
1,Chelsea,102,£ 3028981 (€ 3612255 $3680882),£ 157507000 (€ 187837283 $191405844),100%
2,Manchester Utd,86,£ 2910096 (€ 3470478 $3536411),£ 151325000 (€ 180464856 $183893347),100%
3,Manchester City,96,£ 2896365 (€ 3454103 $3519725),£ 150611000 (€ 179613362 $183025676),100%
4,Arsenal,91,£ 2603077 (€ 3104338 $3163314),£ 135360000 (€ 161425557 $164492342),100%
5,Liverpool,88,£ 2451154 (€ 2923160 $2978694),£ 127460000 (€ 152004295 $154892092),100%
6,Tottenham,83,£ 1753962 (€ 2091713 $2131451),£ 91206000 (€ 108769056 $110835465),100%
7,Everton,90,£ 1648212 (€ 1965599 $2002942),£ 85707000 (€ 102211141 $104152963),100%
8,West Ham,90,£ 1592212 (€ 1898815 $1934889),£ 82795000 (€ 98738397 $100614239),100%
9,Leicester City,88,£ 1536538 (€ 1832422 $1867234),£ 79900000 (€ 95285918 $97096177),100%
10,Crystal Palace,86,£ 1436558 (€ 1713188 $1745735),£ 74701000 (€ 89085775 $90778244),100%
11,Southampton,86,£ 1394510 (€ 1663043 $1694638),£ 72514500 (€ 86478237 $88121158),100%
12,Bournemouth,79,£ 1013269 (€ 1208389 $1231346),£ 52690000 (€ 62836237 $64030011),100%
13,Fulham,82,£ 979212 (€ 1167773 $1189959),£ 50919000 (€ 60724203 $61877851),100%
14,Newcastle Utd,87,£ 958558 (€ 1143142 $1164860),£ 49845000 (€ 59443389 $60572706),100%
15,Watford,93,£ 949962 (€ 1132891 $1154414),£ 49398000 (€ 58910310 $60029502),100%
16,Burnley,83,£ 851212 (€ 1015125 $1034410),£ 44263000 (€ 52786491 $53789342),100%
17,Brighton,86,£ 823481 (€ 982054 $1000711),£ 42821000 (€ 51066812 $52036991),100%
18,Wolves,85,£ 715135 (€ 852844 $869047),£ 37187000 (€ 44347902 $45190433),100%
19,Huddersfield,86,£ 675288 (€ 805325 $820625),£ 35115000 (€ 41876908 $42672499),100%
20,Cardiff City,92,£ 634423 (€ 756591 $770964),£ 32990000 (€ 39342710 $40090150),100%